particleid,row,col,zelev,hypvol_ft,cel_res_t,res_time,Len_ft,tot_len_ft,vel_ftday,flow_ftday,hyd_grad,hyd_head,head_strt,head_end,tot_vol_ft,xcoord,ycoord,geometry
2,253,266,1597.8125,12.5,2.9629393,11.055925,1.5025285,4.8909297,0.50710744,4.218783745812099,0.0,1e+30,1e+30,1e+30,487.5,2407426.0149272773,10515132.860625861,POINT (2407426.0149272773 10515132.860625861)
2,253,267,1598.1759,187.5,8.092986,8.092986,3.3884013,3.3884013,0.24318866,14897.086222254795,0.0,1e+30,1e+30,1e+30,487.5,2407431.0149272773,10515132.860625861,POINT (2407431.0149272773 10515132.860625861)
2,254,265,1597.8125,25.0,16.684153,39.52373,5.2542458,14.803282,0.29862708,33.8558678692249,0.0,1e+30,1e+30,1e+30,487.5,2407421.0149272773,10515127.860625861,POINT (2407421.0149272773 10515127.860625861)
2,254,266,1597.4957,25.0,11.783653,22.839579,4.658106,9.549036,0.40418524,8.829749236342714,0.0,1e+30,1e+30,1e+30,487.5,2407426.0149272773,10515127.860625861,POINT (2407426.0149272773 10515127.860625861)
2,255,264,1597.9039,50.0,28.686314,68.210045,6.443525,21.246807,0.223411,8.251131068238676,0.0,1.0000000000000002e+30,1.0000000000000002e+30,1.0000000000000002e+30,487.5,2407416.0149272773,10515122.860625861,POINT (2407416.0149272773 10515122.860625861)
3,241,212,1589.3125,262.5,114.51953,3981.8474,12.158002,327.19397,0.21314579,90.06911562543692,0.0,1e+30,1e+30,1e+30,487.5,2407156.0149272773,10515192.860625861,POINT (2407156.0149272773 10515192.860625861)
3,241,213,1588.8125,25.0,8.408691,3867.328,0.70708525,315.03595,0.08385086,6.489580975929597,0.0,1e+30,1e+30,1e+30,487.5,2407161.0149272773,10515192.860625861,POINT (2407161.0149272773 10515192.860625861)
3,242,213,1585.8125,87.5,106.82007,3858.9192,5.9420238,314.32886,0.056319278,6.278688033675524,0.0,1e+30,1e+30,1e+30,487.5,2407161.0149272773,10515187.860625861,POINT (2407161.0149272773 10515187.860625861)
3,243,213,1583.8125,62.5,102.229004,3752.099,5.1045136,308.38684,0.051957242,5.192052626831786,0.0,1e+30,1e+30,1e+30,487.5,2407161.0149272773,10515182.860625861,POINT (2407161.0149272773 10515182.860625861)
3,243,214,1583.7491,12.5,28.919434,3649.87,2.8694267,303.28235,0.0992214,0.43223529809039796,0.0,1e+30,1e+30,1e+30,487.5,2407166.0149272773,10515182.860625861,POINT (2407166.0149272773 10515182.860625861)
3,244,214,1582.8125,37.5,71.09546,3620.9507,5.2934446,300.4129,0.076029934,3.507871881317094,0.0,1.0000000000000002e+30,1.0000000000000002e+30,1.0000000000000002e+30,487.5,2407166.0149272773,10515177.860625861,POINT (2407166.0149272773 10515177.860625861)
3,245,214,1582.3125,25.0,47.971924,3549.8552,3.1622448,295.11948,0.06584445,1.1131386716950267,0.0,1e+30,1e+30,1e+30,487.5,2407166.0149272773,10515172.860625861,POINT (2407166.0149272773 10515172.860625861)
3,245,215,1582.1649,12.5,38.426514,3501.8833,2.9441807,291.9572,0.07661847,0.32529622923218654,0.0,1e+30,1e+30,1e+30,487.5,2407171.0149272773,10515172.860625861,POINT (2407171.0149272773 10515172.860625861)
3,246,215,1581.8125,25.0,51.633057,3463.4568,4.816851,289.01303,0.09193502,1.3290457859587508,0.0,1e+30,1e+30,1e+30,487.5,2407171.0149272773,10515167.860625861,POINT (2407171.0149272773 10515167.860625861)
3,246,216,1581.5837,12.5,20.98999,3411.8237,1.99566,284.1962,0.09507675,0.5955219540564117,0.0,1e+30,1e+30,1e+30,487.5,2407176.0149272773,10515167.860625861,POINT (2407176.0149272773 10515167.860625861)
3,247,216,1581.3125,25.0,58.37451,3390.8337,5.569746,282.20053,0.09622793,0.9608645232892741,0.0,1e+30,1e+30,1e+30,487.5,2407176.0149272773,10515162.860625861,POINT (2407176.0149272773 10515162.860625861)
3,247,217,1581.2367,12.5,11.293213,3332.4592,1.1214823,276.63077,0.09930586,1.106859502345591,0.0,1e+30,1e+30,1e+30,487.5,2407181.0149272773,10515162.860625861,POINT (2407181.0149272773 10515162.860625861)
3,248,217,1581.1986,12.5,58.462402,3321.166,6.063974,275.5093,0.10372434,0.2138126299788693,0.0,1e+30,1e+30,1e+30,487.5,2407181.0149272773,10515157.860625861,POINT (2407181.0149272773 10515157.860625861)
3,248,218,1581.0243,12.5,9.132324,3262.7036,0.9534616,269.4453,0.10440514,1.3687643693525102,0.0,1e+30,1e+30,1e+30,487.5,2407186.0149272773,10515157.860625861,POINT (2407186.0149272773 10515157.860625861)
3,249,218,1581.0026,12.5,56.497803,3253.5713,5.88102,268.49185,0.104092896,0.2212475422941469,0.0,1e+30,1e+30,1e+30,487.5,2407186.0149272773,10515152.860625861,POINT (2407186.0149272773 10515152.860625861)
3,249,219,1580.8824,12.5,14.583008,3197.0735,1.5729064,262.61084,0.107858844,0.857161990222996,0.0,1e+30,1e+30,1e+30,487.5,2407191.0149272773,10515152.860625861,POINT (2407191.0149272773 10515152.860625861)
3,250,219,1580.8125,25.0,44.198486,3182.4905,4.8436236,261.03793,0.110244825,1.2803720361388966,0.0,1e+30,1e+30,1e+30,487.5,2407191.0149272773,10515147.860625861,POINT (2407191.0149272773 10515147.860625861)
3,250,220,1580.7915,12.5,29.96997,3138.292,3.3908608,256.1943,0.11314195,0.4170841581335484,0.0,1e+30,1e+30,1e+30,487.5,2407196.0149272773,10515147.860625861,POINT (2407196.0149272773 10515147.860625861)
3,251,220,1580.7563,12.5,24.267334,3108.322,2.7580483,252.80345,0.11365271,0.5150957253091077,0.0,1e+30,1e+30,1e+30,487.5,2407196.0149272773,10515142.860625861,POINT (2407196.0149272773 10515142.860625861)
