particleid,tot_vol_ft,hypvol_ft,head_strt,head_end,z_elevation,total_residence_time_days,total_length_ft,particle_velocity_ft_per_day,flow_rate_cubic_ft_per_day,hydraulic_gradient,x_cell_size_ft,y_cell_size_ft,z_cell_size_ft
2,2437.5,300.0,1e+30,1e+30,1597.4957,68.210045,21.246807,0.33530387,2990.4483508348826,0.0,5.0,5.0,0.5
3,36075.0,2912.5,1e+30,1e+30,1580.6166,3981.8474,327.19397,0.094604775,1384.8600076038063,0.0,5.0,5.0,0.5
4,26812.5,2725.0,1e+30,1e+30,1580.8247,2640.0352,275.4737,0.1368659,1759.2434068339276,0.0,5.0,5.0,0.5
5,20475.0,2400.0,1.0000000000000002e+30,1.0000000000000002e+30,1581.623,2038.5863,209.09024,0.10878056,2347.7031272479603,0.0,5.0,5.0,0.5
6,3412.5,187.5,1e+30,1e+30,1597.4998,94.64863,26.359219,0.32122895,10.546355943733563,0.0,5.0,5.0,0.5
7,33150.0,2512.5,1e+30,1e+30,1581.5831,3231.211,300.61896,0.11038438,1093.9515830211096,0.0,5.0,5.0,0.5
8,48750.0,3312.5,7e+29,6.892307692307693e+29,1580.7747,3713.1592,469.90967,0.15436235,1029.9075195726398,2.2917661634377856e+25,5.0,5.0,0.5
9,22912.5,2550.0,1e+30,1e+30,1581.8525,1927.9097,236.64359,0.13784164,2716.1082123348438,0.0,5.0,5.0,0.5
10,17062.5,2300.0,1e+30,1e+30,1582.9141,1519.9141,186.35039,0.12533945,2834.2591240923653,0.0,5.0,5.0,0.5
11,16087.5,2275.0,1e+30,1e+30,1583.6337,1394.647,166.13345,0.12658095,3012.8291365293185,0.0,5.0,5.0,0.5
12,14625.0,2200.0,1.0000000000000002e+30,1.0000000000000002e+30,1584.8906,1226.9752,152.82312,0.15023908,3401.1243241009215,0.0,5.0,5.0,0.5
13,14137.5,2100.0,1e+30,1e+30,1586.5232,1087.592,137.58705,0.14525737,3628.991256316513,0.0,5.0,5.0,0.5
14,14137.5,2037.5,1e+30,1e+30,1587.8468,1121.2985,132.92262,0.15834352,3914.02703517623,0.0,5.0,5.0,0.5
15,4387.5,262.5,1.0000000000000002e+30,1.0000000000000002e+30,1597.123,250.79765,42.354992,0.22296193,8.747387799175167,0.0,5.0,5.0,0.5
16,31687.5,1775.0,1e+30,1e+30,1582.5785,2880.422,286.48868,0.11245971,157.1786402990696,0.0,5.0,5.0,0.5
17,73530.67626953125,3575.0,4.4267337807606264e+29,4.35682326621924e+29,1580.8079,4575.865,645.76227,0.16572978,406.58177401064614,1.0826045125045505e+25,5.0,5.0,0.5
18,26325.0,2500.0,1.0000000000000002e+30,1.0000000000000002e+30,1582.1722,1964.1956,272.92004,0.14384983,1688.6992936128916,0.0,5.0,5.0,0.5
