particleid,row,col,zelev,hypvol_ft,cel_res_t,res_time,Len_ft,tot_len_ft,vel_ftday,flow_ftday,hyd_grad,hyd_head,head_strt,head_end,tot_vol_ft,xcoord,ycoord,geometry
7,252,267,1599.8906,0.0,1.0,1.0,0.084414765,0.084414765,0.084414765,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407431.0149272773,10515137.860625861,POINT (2407431.0149272773 10515137.860625861)
7,253,267,1599.9688,0.0,60.91259,61.91259,2.7853794,2.8697941,0.045727484,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407431.0149272773,10515132.860625861,POINT (2407431.0149272773 10515132.860625861)
7,253,268,1600.1875,0.0,168.96744,230.88004,4.5843134,7.4541073,0.027131341,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407436.0149272773,10515132.860625861,POINT (2407436.0149272773 10515132.860625861)
7,253,269,1599.875,0.0,262.59036,493.4704,5.0204263,12.474533,0.019118851,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407441.0149272773,10515132.860625861,POINT (2407441.0149272773 10515132.860625861)
7,253,270,1599.875,0.0,445.64014,939.11053,5.0029407,17.477474,0.011226414,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407446.0149272773,10515132.860625861,POINT (2407446.0149272773 10515132.860625861)
15,251,265,1600.2969,0.0,1.0,1.0,0.13247709,0.13247709,0.13247709,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407421.0149272773,10515142.860625861,POINT (2407421.0149272773 10515142.860625861)
15,251,266,1600.7812,0.0,73.56504,74.56504,2.694017,2.826494,0.036620885,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407426.0149272773,10515142.860625861,POINT (2407426.0149272773 10515142.860625861)
15,252,266,1600.1562,0.0,16.292488,90.85753,2.4161947,5.2426887,0.14830115,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407426.0149272773,10515137.860625861,POINT (2407426.0149272773 10515137.860625861)
15,253,266,1600.4375,0.0,104.95613,195.81366,5.018184,10.260873,0.047812205,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407426.0149272773,10515132.860625861,POINT (2407426.0149272773 10515132.860625861)
15,253,267,1600.8125,0.0,746.4847,942.29834,2.901967,13.16284,0.0038875106,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407431.0149272773,10515132.860625861,POINT (2407431.0149272773 10515132.860625861)
17,251,267,1599.8906,0.0,1.0,1.0,0.09066322,0.09066322,0.09066322,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407431.0149272773,10515142.860625861,POINT (2407431.0149272773 10515142.860625861)
17,252,267,1599.9688,0.0,44.51837,45.51837,3.0772128,3.167876,0.069122314,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407431.0149272773,10515137.860625861,POINT (2407431.0149272773 10515137.860625861)
17,252,268,1599.9688,0.0,34.56938,80.08775,1.9785056,5.1463814,0.05723289,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407436.0149272773,10515137.860625861,POINT (2407436.0149272773 10515137.860625861)
17,253,268,1599.875,0.0,127.864975,207.95273,4.805783,9.952165,0.037584826,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407436.0149272773,10515132.860625861,POINT (2407436.0149272773 10515132.860625861)
17,253,269,1599.875,0.0,110.92401,318.87674,2.0218885,11.974053,0.01822769,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407441.0149272773,10515132.860625861,POINT (2407441.0149272773 10515132.860625861)
17,253,270,1599.875,0.0,445.64017,764.5169,5.575292,17.549345,0.012510749,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407446.0149272773,10515132.860625861,POINT (2407446.0149272773 10515132.860625861)
20,251,270,1599.8438,0.0,1.0,1.0,0.044410806,0.044410806,0.044410806,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407446.0149272773,10515142.860625861,POINT (2407446.0149272773 10515142.860625861)
20,252,270,1599.875,0.0,134.6991,135.6991,3.369715,3.4141257,0.025016611,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407446.0149272773,10515137.860625861,POINT (2407446.0149272773 10515137.860625861)
20,252,271,1599.875,0.0,24.247833,159.94693,0.5386177,3.9527433,0.022213023,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407451.0149272773,10515137.860625861,POINT (2407451.0149272773 10515137.860625861)
20,252,272,1599.875,0.0,481.82724,641.7742,6.142593,10.095336,0.0127485385,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407456.0149272773,10515137.860625861,POINT (2407456.0149272773 10515137.860625861)
20,252,273,1599.875,0.0,481.82727,1123.6014,5.032393,15.127729,0.010444392,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407461.0149272773,10515137.860625861,POINT (2407461.0149272773 10515137.860625861)
20,252,274,1599.875,0.0,614.754,1738.3555,5.005844,20.133574,0.008142841,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407466.0149272773,10515137.860625861,POINT (2407466.0149272773 10515137.860625861)
27,250,264,1600.2188,0.0,1.0,1.0,0.14227459,0.14227459,0.1422746,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407416.0149272773,10515147.860625861,POINT (2407416.0149272773 10515147.860625861)
27,250,265,1600.625,0.0,107.73346,108.73346,3.283267,3.4255416,0.030475834,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407421.0149272773,10515147.860625861,POINT (2407421.0149272773 10515147.860625861)
27,251,265,1600.1875,0.0,3.553711,112.28717,0.5979732,4.0235147,0.16826726,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407421.0149272773,10515142.860625861,POINT (2407421.0149272773 10515142.860625861)
27,251,266,1600.7812,0.0,323.2932,435.58038,6.5575004,10.581015,0.020283446,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407426.0149272773,10515142.860625861,POINT (2407426.0149272773 10515142.860625861)
27,252,266,1600.1562,0.0,5.3443604,440.92474,1.0485779,11.629593,0.1962027,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407426.0149272773,10515137.860625861,POINT (2407426.0149272773 10515137.860625861)
27,253,266,1600.4375,0.0,104.95618,545.8809,5.0092893,16.638882,0.047727436,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407426.0149272773,10515132.860625861,POINT (2407426.0149272773 10515132.860625861)
27,253,267,1600.8125,0.0,1619.3792,2165.26,4.2374616,20.876343,0.0026167198,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407431.0149272773,10515132.860625861,POINT (2407431.0149272773 10515132.860625861)
28,250,265,1600.0,0.0,1.0,1.0,0.16056977,0.16056977,0.16056979,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407421.0149272773,10515147.860625861,POINT (2407421.0149272773 10515147.860625861)
28,251,265,1600.1875,0.0,25.006357,26.006357,3.2460866,3.4066563,0.12981045,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407421.0149272773,10515142.860625861,POINT (2407421.0149272773 10515142.860625861)
28,251,266,1600.7812,0.0,5.12508,31.131437,0.6615464,4.0682025,0.1290802,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407426.0149272773,10515142.860625861,POINT (2407426.0149272773 10515142.860625861)
28,252,266,1600.1562,0.0,73.625984,104.75742,6.870068,10.938271,0.09331037,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407426.0149272773,10515137.860625861,POINT (2407426.0149272773 10515137.860625861)
28,252,267,1600.4375,0.0,19.282806,124.04023,1.0867566,12.025027,0.05635884,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407431.0149272773,10515137.860625861,POINT (2407431.0149272773 10515137.860625861)
28,253,267,1599.9688,0.0,90.82618,214.86641,4.699249,16.724276,0.051738925,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407431.0149272773,10515132.860625861,POINT (2407431.0149272773 10515132.860625861)
29,250,266,1599.9531,0.0,1.0,1.0,0.13545328,0.13545328,0.13545328,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407426.0149272773,10515147.860625861,POINT (2407426.0149272773 10515147.860625861)
29,251,266,1600.0938,0.0,41.482113,42.482113,3.3992102,3.5346634,0.081943996,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407426.0149272773,10515142.860625861,POINT (2407426.0149272773 10515142.860625861)
29,251,267,1600.1562,0.0,1.5934029,44.075516,0.09500192,3.6296654,0.059622034,0.0,0.0,1e+30,1e+30,1e+30,487.5,2407431.0149272773,10515142.860625861,POINT (2407431.0149272773 10515142.860625861)
