particleid,row,col,zelev,hypvol_ft,cel_res_t,res_time,Len_ft,tot_len_ft,vel_ftday,flow_ftday,hyd_grad,hyd_head,head_strt,head_end,tot_vol_ft,xcoord,ycoord,geometry
7,131,267,1599.9688,48.590087890625,229.88004,230.88004,7.369651,7.471511,0.03642907,0.542636303028351,0.0006570119542520637,1600.7843,1600.78613,1600.7843,511.7950439453125,2407431.0149272773,10515132.860625861,POINT (2407431.0149272773 10515132.860625861)
7,131,268,1599.875,24.21875,262.59036,493.4704,5.0204263,12.491938,0.019118851,0.09223015561165758,0.000607518133713668,1600.78125,1600.7843,1600.78125,511.71875,2407436.0149272773,10515132.860625861,POINT (2407436.0149272773 10515132.860625861)
7,132,267,1599.8906,2463.0462646484375,1.0,1.0,0.101859726,0.101859726,0.10185972,243865.96679759098,0.0,1600.78796,1600.78796,1600.78796,511.8865966796875,2407431.0149272773,10515137.860625861,POINT (2407431.0149272773 10515137.860625861)
15,131,266,1600.4375,48.66943359375,851.4408,942.29834,7.920151,13.204795,0.025849858,0.2644551611034377,0.0004981881708128048,1600.78589,1600.7883900000002,1600.78589,511.834716796875,2407426.0149272773,10515132.860625861,POINT (2407426.0149272773 10515132.860625861)
15,132,266,1600.1562,24.4598388671875,16.292488,90.85753,2.4161947,5.284643,0.14830115,1.5012954878250369,0.010359264605051263,1600.79089,1600.81592,1600.79089,511.9598388671875,2407426.0149272773,10515137.860625861,POINT (2407426.0149272773 10515137.860625861)
15,133,265,1600.2969,2558.7158203125,74.56504,74.56504,2.8684487,2.8684487,0.17902973,250854.83318511516,0.0,1600.81592,1600.81592,1600.81592,512.58544921875,2407421.0149272773,10515142.860625861,POINT (2407421.0149272773 10515142.860625861)
17,131,268,1599.875,48.4375,238.78899,318.87674,6.827671,11.987319,0.027906258,0.40774519492690153,0.0006981172772893053,1600.78125,1600.784605,1600.78125,511.71875,2407436.0149272773,10515132.860625861,POINT (2407436.0149272773 10515132.860625861)
17,132,267,1599.9688,48.773193359375,79.08775,80.08775,5.055656,5.1596475,0.0631769,1.2532264488457106,0.0014493929448266753,1600.78796,1600.7924200000002,1600.78796,511.8865966796875,2407431.0149272773,10515137.860625861,POINT (2407431.0149272773 10515137.860625861)
17,133,267,1599.8906,2485.546875,1.0,1.0,0.10399139,0.10399139,0.10399138,246093.75000072253,0.0,1600.79688,1600.7968800000003,1600.79688,512.109375,2407431.0149272773,10515142.860625861,POINT (2407431.0149272773 10515142.860625861)
20,132,270,1599.875,48.333740234375,158.94693,159.94693,3.9083323,3.9589672,0.023614816,1.1760747661380415,0.000471850030073838,1600.77917,1600.78076,1600.77917,511.6668701171875,2407446.0149272773,10515137.860625861,POINT (2407446.0149272773 10515137.860625861)
20,132,271,1599.875,24.1363525390625,481.82724,641.7742,6.142593,10.101561,0.0127485385,0.05009337483607546,0.00019861319455539495,1600.77795,1600.77917,1600.77795,511.6363525390625,2407451.0149272773,10515137.860625861,POINT (2407451.0149272773 10515137.860625861)
20,132,272,1599.875,24.0875244140625,481.82727,1123.6014,5.032393,15.133953,0.010444392,0.04999203218339203,0.000387489611426893,1600.776,1600.77795,1600.776,511.5875244140625,2407456.0149272773,10515137.860625861,POINT (2407456.0149272773 10515137.860625861)
20,133,270,1599.8438,2448.8677978515625,1.0,1.0,0.050634973,0.050634973,0.05063497,242462.15820383688,0.0,1600.7823500000002,1600.78235,1600.7823500000002,511.7462158203125,2407446.0149272773,10515142.860625861,POINT (2407446.0149272773 10515142.860625861)
27,131,266,1600.4375,48.66943359375,1724.3353,2165.26,9.246751,20.907936,0.025172077,0.2468831651248413,0.0004990727961287154,1600.78589,1600.7883900000002,1600.78589,511.834716796875,2407426.0149272773,10515132.860625861,POINT (2407426.0149272773 10515132.860625861)
27,132,266,1600.1562,24.4598388671875,5.3443604,440.92474,1.0485779,11.661186,0.1962027,4.576757040725429,0.023870424779880235,1600.79089,1600.81592,1600.79089,511.9598388671875,2407426.0149272773,10515137.860625861,POINT (2407426.0149272773 10515137.860625861)
27,133,265,1600.1875,50.1708984375,326.84692,435.58038,7.1554737,10.612608,0.094275355,7.136538256707157,0.014189598479871023,1600.81592,1600.8244049999998,1600.81592,512.58544921875,2407421.0149272773,10515142.860625861,POINT (2407421.0149272773 10515142.860625861)
27,134,264,1600.2188,2601.983642578125,108.73346,108.73346,3.457135,3.457135,0.17523919,255096.67233240447,0.0,1600.83289,1600.83289,1600.83289,513.0096435546875,2407416.0149272773,10515147.860625861,POINT (2407416.0149272773 10515147.860625861)
28,131,267,1599.9688,24.2950439453125,90.82618,214.86641,4.699249,16.740082,0.051738925,0.2674894405762934,0.0014023517999184358,1600.7843,1600.79089,1600.7843,511.7950439453125,2407431.0149272773,10515132.860625861,POINT (2407431.0149272773 10515132.860625861)
28,132,266,1600.1562,48.919677734375,92.90879,124.04023,7.956825,12.040832,0.07483461,1.6006966809839174,0.0018216704502093549,1600.79089,1600.803405,1600.79089,511.9598388671875,2407426.0149272773,10515137.860625861,POINT (2407426.0149272773 10515137.860625861)
