particleid,tot_vol_ft,hypvol_ft,head_strt,head_end,z_elevation,total_residence_time_days,total_length_ft,particle_velocity_ft_per_day,flow_rate_cubic_ft_per_day,hydraulic_gradient,x_cell_size_ft,y_cell_size_ft,z_cell_size_ft
6,1023.7945556640625,2519.1131591796875,1600.78964,1600.7883900000002,1600.125,583.449,4.958011,0.10826491,122299.43645752834,0.0002521172223884817,5.0,5.0,0.5
7,1535.400390625,2535.8551025390625,1600.7861300000002,1600.7845033333333,1599.875,493.4704,12.491938,0.052469213,81288.86722134986,0.00013021732209252568,5.0,5.0,0.5
11,1023.223876953125,2485.9954833984375,1600.77795,1600.776975,1599.8438,694.7501,7.886467,0.027812578,120681.84463775255,0.00012362950385778448,5.0,5.0,0.5
15,1536.3800048828125,2631.8450927734375,1600.8067433333333,1600.7975666666669,1600.1562,942.29834,13.204795,0.11772692,83618.86631192136,0.0006949495806080829,5.0,5.0,0.5
16,1536.04736328125,2573.162841796875,1600.79787,1600.79313,1599.9844,142.80498,8.529406,0.10332525,82510.72408157287,0.0005557245399947795,5.0,5.0,0.5
17,1535.7147216796875,2582.757568359375,1600.7913016666669,1600.7886966666667,1599.875,318.87674,11.987319,0.065024845,82031.80365745544,0.00021731297896847846,5.0,5.0,0.5
18,511.9232177734375,2466.7449951171875,1600.78943,1600.78943,1599.8594,1.0,0.07590927,0.07590927,244232.1777350921,0.0,5.0,5.0,0.5
19,1023.590087890625,2508.1298828125,1600.78546,1600.7843,1599.8438,95.01975,3.7050076,0.047534645,121767.14212872485,0.00031308978008867417,5.0,5.0,0.5
20,2046.636962890625,2545.4254150390625,1600.7800575,1600.7788675000002,1599.8438,1123.6014,15.133953,0.02436068,60615.85859100251,7.86311410192787e-05,5.0,5.0,0.5
21,1023.284912109375,2516.30859375,1600.7793000000001,1600.7782000000002,1599.8438,595.72894,9.179759,0.03218241,120987.27454538629,0.00011982885355560863,5.0,5.0,0.5
27,2049.3896484375,2725.2838134765625,1600.81540125,1600.8063975,1600.1562,2165.26,20.907936,0.12272233,63777.15812771676,0.00043063791464141425,5.0,5.0,0.5
28,2049.1607666015625,2680.74951171875,1600.81005875,1600.8041075,1599.9688,214.86641,16.740082,0.10825507,63303.027924539376,0.0003555090157645175,5.0,5.0,0.5
29,2048.2666015625,2662.469482421875,1600.79861375,1600.795165,1599.875,411.7875,19.00839,0.07771844,62275.50967670765,0.00018143303680930086,5.0,5.0,0.5
30,1023.980712890625,2548.089599609375,1600.79584,1600.792115,1599.875,237.18488,11.50255,0.076754674,123718.81707672302,0.0003238412316844179,5.0,5.0,0.5
31,2046.8994140625,2596.441650390625,1600.78321625,1600.7814925,1599.875,1618.7377,27.777092,0.035780974,61272.00435654733,6.205653209216886e-05,5.0,5.0,0.5
32,2046.88720703125,2611.3983154296875,1600.7832612500001,1600.78137,1599.8594,1197.7709,21.4794,0.032901544,61043.13463845729,8.804947737404539e-05,5.0,5.0,0.5
33,1535.07080078125,2573.73046875,1600.7814366666669,1600.7801133333335,1599.8438,817.503,15.392823,0.030515028,80953.32923774484,8.597080045352988e-05,5.0,5.0,0.5
34,1023.37646484375,2495.703125,1600.78174,1600.78003,1599.8438,446.60028,7.991834,0.034005858,121154.95550388991,0.00021396840387118414,5.0,5.0,0.5
35,1534.771728515625,2510.968017578125,1600.7769366666664,1600.7761233333333,1599.8906,7653.9663,18.746603,0.031542834,80485.0933596115,4.3385638057974544e-05,5.0,5.0,0.5
36,1023.150634765625,2483.148193359375,1600.77686,1600.7755149999998,1599.875,7464.2817,8.262515,0.10040491,120544.50478277942,0.00016278336427230715,5.0,5.0,0.5
38,3077.630615234375,2929.1748046875,1600.8410258333333,1600.8300383333335,1600.1562,3727.592,33.62353,0.20584075,44591.47427347492,0.00032678007221239376,5.0,5.0,0.5
39,2563.3819580078125,2876.5350341796875,1600.830689,1600.819556,1600.1562,2255.1345,28.51558,0.119945504,52987.640733536995,0.0003904181609870946,5.0,5.0,0.5
40,2562.90283203125,2801.6510009765625,1600.824941,1600.815724,1600.0312,543.9929,23.209326,0.111661136,52027.294921554385,0.0003971248490055415,5.0,5.0,0.5
41,1536.85302734375,2723.47412109375,1600.8049916666666,1600.8038733333333,1599.875,434.83264,25.527853,0.085319124,85828.11907310491,4.380835837712485e-05,5.0,5.0,0.5
42,512.7593994140625,2551.1993408203125,1600.82288,1600.82288,1599.9844,1.0,0.1507709,0.1507709,252593.99414136662,0.0,5.0,5.0,0.5
43,2047.4334716796875,2650.91552734375,1600.78855625,1600.7868325,1599.875,1672.6559,34.616486,0.044160437,62607.14518636774,4.9795638420444494e-05,5.0,5.0,0.5
44,2047.186279296875,2592.9412841796875,1600.7864675,1600.7843625,1599.875,1403.4666,28.935919,0.04197503,61790.59687330875,7.274695557439495e-05,5.0,5.0,0.5
46,2046.673583984375,2558.795166015625,1600.7811299999998,1600.7792375,1599.875,18935.324,24.868765,0.030177332,60943.731769099664,7.609947696541565e-05,5.0,5.0,0.5
47,2046.5850830078125,2525.4791259765625,1600.780245,1600.7783525,1599.875,33202.7,21.052496,0.056241974,60722.379844533854,8.989432910270662e-05,5.0,5.0,0.5
54,3592.3126220703125,3026.873779296875,1600.8506571428572,1600.8400014285714,1600.1562,2899.8862,40.06671,0.12048169,38834.98627717542,0.00026594931070252976,5.0,5.0,0.5
55,3592.034912109375,2971.64306640625,1600.8482764285714,1600.8384142857142,1600.0938,1301.521,35.342346,0.10429023,38436.61063765845,0.0002790460713548013,5.0,5.0,0.5
56,3076.4739990234375,2924.859619140625,1600.8318891666668,1600.8223266666666,1599.9688,340.57068,31.505516,0.10966489,44511.533716803126,0.0003035182786490945,5.0,5.0,0.5
57,1026.96533203125,2725.69580078125,1600.85651,1600.85181,1600.0,80.631355,9.456978,0.13596699,131090.7883101057,0.0004969875236672937,5.0,5.0,0.5
58,1537.95166015625,2746.42333984375,1600.8244033333333,1600.8185233333334,1599.875,542.9145,31.088932,0.10260645,86518.59675235715,0.00018913483399393924,5.0,5.0,0.5
59,2047.8424072265625,2692.626953125,1600.79264625,1600.7909225,1599.875,1666.7659,41.061623,0.05204577,63629.46345522027,4.1979587992676425e-05,5.0,5.0,0.5
60,2047.6776123046875,2692.0196533203125,1600.79116625,1600.789275,1599.875,1266.7274,34.90168,0.05161327,63019.477881899176,5.418793594945465e-05,5.0,5.0,0.5
61,2559.02099609375,2631.109619140625,1600.787868,1600.78467,1599.875,9142.489,36.032192,0.043837108,49695.03064454595,8.875396699292003e-05,5.0,5.0,0.5
62,2558.868408203125,2590.850830078125,1600.786646,1600.783448,1599.875,88928.375,33.5009,0.05146142,49389.71337743129,9.546012120495316e-05,5.0,5.0,0.5
71,4107.3638916015625,3091.351318359375,1600.859566875,1600.84932,1600.125,1698.6227,42.759014,0.1001132,34440.48072690532,0.00023964245220496613,5.0,5.0,0.5
72,3592.5445556640625,3034.2010498046875,1600.8514664285715,1600.8413257142856,1600.0312,513.0309,37.377075,0.101690546,38941.79554909597,0.0002713083951289252,5.0,5.0,0.5
73,1541.5313720703125,2864.666748046875,1600.875041666667,1600.8662533333334,1600.0,126.34332,15.949926,0.13506866,90223.46313702369,0.0005509952288291594,5.0,5.0,0.5
74,2565.771484375,2864.202880859375,1600.84584,1600.838674,1599.875,625.5906,38.645313,0.11114581,53207.01045465239,0.00018542998865381813,5.0,5.0,0.5
75,2048.74267578125,2784.454345703125,1600.80164875,1600.799925,1599.875,1638.3082,47.36546,0.05324381,65880.59980531156,3.639255314283409e-05,5.0,5.0,0.5
76,2048.2818603515625,2753.6529541015625,1600.79720875,1600.7953175,1599.875,1337.5479,42.014797,0.058192074,64529.991328037104,4.501390285159173e-05,5.0,5.0,0.5
77,2559.716796875,2702.081298828125,1600.793434,1600.790236,1599.875,52714.97,44.188488,0.05127155,51086.77855081299,7.23717905760171e-05,5.0,5.0,0.5
78,2559.344482421875,2630.389404296875,1600.7909439999999,1600.7872579999998,1599.875,191388.06,41.040035,0.052532088,50170.95041641718,8.98147376765085e-05,5.0,5.0,0.5
86,11390.811157226562,4328.7017822265625,-1.3636363636363635e+29,-4.545454545454546e+28,1600.1406,29919.535,119.77668,1.133546,16299.213482227013,-7.589882347269093e+26,5.0,5.0,0.5
87,10840.460205078125,4265.850830078125,-1.4285714285714285e+29,-9.523809523809524e+28,1600.25,33205.32,116.298584,21.431147,17405.008239643696,-4.0945509384228916e+26,5.0,5.0,0.5
88,5110.29052734375,3128.6346435546875,-1.5e+29,-1.0000000000000001e+29,1600.1562,11900.715,53.29369,113.62654,28922.66424592997,-9.381973786276212e+26,5.0,5.0,0.5
89,4108.1512451171875,3145.4010009765625,1600.863518125,1600.85325625,1600.0625,870.93604,45.07004,0.10744193,34768.33866740463,0.0002276872756892735,5.0,5.0,0.5
90,2570.9136962890625,2961.5386962890625,1600.888711,1600.879812,1600.0,200.68687,23.573181,0.1270928,54970.852515886145,0.0003775052650995764,5.0,5.0,0.5
91,3078.7750244140625,2987.14599609375,1600.8472208333333,1600.8376683333333,1599.875,592.74133,43.15801,0.101147376,45472.92091087903,0.00022133783080443615,5.0,5.0,0.5
92,3075.3387451171875,2931.927490234375,1600.8196908333332,1600.8147583333332,1599.875,1604.046,53.841522,0.06869797,44669.05536436197,9.161145147669242e-05,5.0,5.0,0.5
93,3073.760986328125,2829.72412109375,1600.8086966666667,1600.8042416666667,1599.875,31715.854,54.972965,0.065927334,44240.729572933655,8.103983440803791e-05,5.0,5.0,0.5
94,2560.247802734375,2747.613525390625,1600.79817,1600.794484,1599.875,485018.5,52.787193,0.051578093,51977.834730963295,6.982754281296464e-05,5.0,5.0,0.5
95,2560.1593017578125,2691.6290283203125,1600.797854,1600.793776,1599.875,498898.62,48.95674,0.047199313,51379.4052211338,8.329802778736765e-05,5.0,5.0,0.5
97,1569.580078125,3712.7197265625,1601.240355,1601.2402333333332,1600.2031,6520.536,10.482145,0.021115163,118998.23367780005,1.1607038741476162e-05,5.0,5.0,0.5
101,11913.995361328125,4443.5760498046875,-6.521739130434782e+28,-4.347826086956522e+28,1600.1562,25168.014,124.10389,9.040086,15926.089993009822,-1.7516880839464223e+26,5.0,5.0,0.5
102,11390.811157226562,4382.6324462890625,-9.090909090909092e+28,-4.545454545454546e+28,1600.1406,23635.725,119.49995,3.1949663,16858.172261166994,-3.8037293530252556e+26,5.0,5.0,0.5
103,10867.636108398438,4292.718505859375,-1.4285714285714285e+29,-4.761904761904762e+28,1600.125,23213.787,115.33743,0.6819972,17033.355842845787,-8.25734480778685e+26,5.0,5.0,0.5
104,10317.28515625,4229.559326171875,-1.5e+29,-1.0000000000000001e+29,1600.2031,27562.672,111.76311,11.055687,18037.47715547802,-4.473748199025544e+26,5.0,5.0,0.5
