particleid,tot_vol_ft,hypvol_ft,head_strt,head_end,z_elevation,total_residence_time_days,total_length_ft,particle_velocity_ft_per_day,flow_rate_cubic_ft_per_day,hydraulic_gradient,x_cell_size_ft,y_cell_size_ft,z_cell_size_ft
7,2437.5,0.0,1e+30,1e+30,1599.875,939.11053,17.477474,0.03752377,0.0,0.0,5.0,5.0,0.5
15,2437.5,0.0,1e+30,1e+30,1600.1562,942.29834,13.16284,0.07381977,0.0,0.0,5.0,5.0,0.5
17,2925.0,0.0,1.0000000000000002e+30,1.0000000000000002e+30,1599.875,764.5169,17.549345,0.047556948,0.0,0.0,5.0,5.0,0.5
20,2925.0,0.0,1.0000000000000002e+30,1.0000000000000002e+30,1599.8438,1738.3555,20.133574,0.020496035,0.0,0.0,5.0,5.0,0.5
27,3412.5,0.0,1e+30,1e+30,1600.1562,2165.26,20.876343,0.08683543,0.0,0.0,5.0,5.0,0.5
28,2925.0,0.0,1.0000000000000002e+30,1.0000000000000002e+30,1599.9688,214.86641,16.724276,0.1034781,0.0,0.0,5.0,5.0,0.5
29,3900.0,0.0,1e+30,1e+30,1599.875,857.4277,24.589151,0.058830623,0.0,0.0,5.0,5.0,0.5
30,3412.5,0.0,1e+30,1e+30,1599.875,506.12726,18.28142,0.051774938,0.0,0.0,5.0,5.0,0.5
31,4387.5,0.0,1e+30,1e+30,1599.875,2233.4917,32.7655,0.030754795,0.0,0.0,5.0,5.0,0.5
32,3900.0,0.0,1e+30,1e+30,1599.8594,1812.525,26.50953,0.02751335,0.0,0.0,5.0,5.0,0.5
33,3412.5,0.0,1e+30,1e+30,1599.8438,1432.2571,20.943905,0.022580672,0.0,0.0,5.0,5.0,0.5
34,2925.0,0.0,1.0000000000000002e+30,1.0000000000000002e+30,1599.8438,1252.1598,18.307812,0.021634914,0.0,0.0,5.0,5.0,0.5
35,1950.0,0.0,1e+30,1e+30,1599.875,5953.106,13.737995,33.358444,0.0,0.0,5.0,5.0,0.5
38,4875.0,0.0,1e+30,1e+30,1600.1562,3727.592,33.596527,0.17620149,0.0,0.0,5.0,5.0,0.5
39,4387.5,0.0,1e+30,1e+30,1600.1562,2255.1345,28.494295,0.10091772,0.0,0.0,5.0,5.0,0.5
40,3900.0,0.0,1e+30,1e+30,1600.0312,543.9929,23.197287,0.09771236,0.0,0.0,5.0,5.0,0.5
41,4875.0,0.0,1e+30,1e+30,1599.875,880.4728,31.29979,0.08126536,0.0,0.0,5.0,5.0,0.5
42,4387.5,0.0,1e+30,1e+30,1599.875,664.4393,26.123852,0.07252793,0.0,0.0,5.0,5.0,0.5
43,5362.5,0.0,1e+30,1e+30,1599.875,2287.41,39.602924,0.04816545,0.0,0.0,5.0,5.0,0.5
44,4875.0,0.0,1e+30,1e+30,1599.875,2018.2206,33.94056,0.038391866,0.0,0.0,5.0,5.0,0.5
46,2925.0,0.0,1.0000000000000002e+30,1.0000000000000002e+30,1599.875,1804.2218,18.48249,0.033873506,0.0,0.0,5.0,5.0,0.5
47,2437.5,0.0,1e+30,1e+30,1599.875,2001.8812,14.129042,0.051476263,0.0,0.0,5.0,5.0,0.5
54,5850.0,0.0,1.0000000000000002e+30,1.0000000000000002e+30,1600.1562,2899.8862,40.043285,0.10169065,0.0,0.0,5.0,5.0,0.5
55,5362.5,0.0,1e+30,1e+30,1600.0938,1301.521,35.32618,0.09544584,0.0,0.0,5.0,5.0,0.5
56,4875.0,0.0,1e+30,1e+30,1599.9688,340.57068,31.493685,0.114907704,0.0,0.0,5.0,5.0,0.5
57,5850.0,0.0,1.0000000000000002e+30,1.0000000000000002e+30,1599.875,880.80664,38.278202,0.08068648,0.0,0.0,5.0,5.0,0.5
58,5362.5,0.0,1e+30,1e+30,1599.875,716.14386,34.407803,0.078882165,0.0,0.0,5.0,5.0,0.5
59,6337.5,0.0,1e+30,1e+30,1599.875,2281.52,46.049915,0.055275314,0.0,0.0,5.0,5.0,0.5
60,5850.0,0.0,1.0000000000000002e+30,1.0000000000000002e+30,1599.875,1881.4814,40.032104,0.05158739,0.0,0.0,5.0,5.0,0.5
61,4387.5,0.0,1e+30,1e+30,1599.875,1655.522,30.429035,0.047589622,0.0,0.0,5.0,5.0,0.5
62,3900.0,0.0,1e+30,1e+30,1599.875,5116.1147,26.373186,0.96788937,0.0,0.0,5.0,5.0,0.5
71,6337.5,0.0,1e+30,1e+30,1600.125,1698.6227,42.74381,0.09109395,0.0,0.0,5.0,5.0,0.5
72,5850.0,0.0,1.0000000000000002e+30,1.0000000000000002e+30,1600.0312,513.0309,37.364643,0.095645346,0.0,0.0,5.0,5.0,0.5
73,6825.0,0.0,1e+30,1e+30,1599.875,883.1342,45.09842,0.09046412,0.0,0.0,5.0,5.0,0.5
74,6337.5,0.0,1e+30,1e+30,1599.875,741.885,40.90756,0.08535462,0.0,0.0,5.0,5.0,0.5
75,7312.5,0.0,1e+30,1e+30,1599.875,2253.0623,52.358315,0.07020023,0.0,0.0,5.0,5.0,0.5
76,6825.0,0.0,1e+30,1e+30,1599.875,1952.302,47.132614,0.062755205,0.0,0.0,5.0,5.0,0.5
77,5362.5,0.0,1e+30,1e+30,1599.875,3648.1958,37.12436,0.089718446,0.0,0.0,5.0,5.0,0.5
